station,network,n_meas,skp_N_mm,skp_E_mm,skp_U_mm,skp_3D_mm,bias_N_mm,bias_E_mm,bias_U_mm,bias_3D_mm,mean_nsat,std_nsat,category
NKLG,IGS,1,0,0,0,0,4.8,3.8,2.2,6.5,27.0,0,Неопределено
NRC1,IGS,1,0,0,0,0,10.200000000000001,4.5,-5.1000000000000005,12.200000000000001,19.0,0,Неопределено
NNOR,IGS,1,0,0,0,0,-6.1000000000000005,-6.8,-6.0,10.9,23.0,0,Неопределено
NVSK,IGS,1,0,0,0,0,-1.0,3.5,24.400000000000002,24.7,15.0,0,Неопределено
NRMG,IGS,1,0,0,0,0,-7.8,8.1,-23.2,25.8,27.0,0,Неопределено
ONS1,IGS,1,0,0,0,0,10.0,1.1,-19.0,21.5,23.0,0,Неопределено
ORID,IGS,1,0,0,0,0,0.2,3.8,-20.5,20.9,23.0,0,Неопределено
NYA2,IGS,1,0,0,0,0,2.3,-3.1,-29.6,29.9,29.0,0,Неопределено
OBE4,IGS,1,0,0,0,0,4.7,4.7,-12.1,13.799999999999999,23.0,0,Неопределено
OHI3,IGS,1,0,0,0,0,-0.6,3.2,8.8,9.4,27.0,0,Неопределено
ONSA,IGS,1,0,0,0,0,10.7,2.0,-16.9,20.1,24.0,0,Неопределено
OWMG,IGS,1,0,0,0,0,-2.0,2.1,-24.6,24.7,24.0,0,Неопределено
OUS2,IGS,1,0,0,0,0,-17.1,-32.300000000000004,-17.3,40.5,29.0,0,Неопределено
PADO,IGS,1,0,0,0,0,3.4,3.9,-13.5,14.5,22.0,0,Неопределено
PENC,IGS,1,0,0,0,0,4.1000000000000005,19.0,-27.599999999999998,33.7,15.0,0,Неопределено
PERT,IGS,1,0,0,0,0,-6.7,-7.2,11.2,14.9,22.0,0,Неопределено
PARC,IGS,1,0,0,0,0,-5.4,3.2,-3.8,7.4,27.0,0,Неопределено
PICL,IGS,1,0,0,0,0,-0.4,-3.0,-6.4,7.1000000000000005,24.0,0,Неопределено
PGEN,IGS,1,0,0,0,0,2.6,-0.8,-7.4,7.8,25.0,0,Неопределено
POLV,IGS,1,0,0,0,0,-0.3,-0.6,-6.8999999999999995,6.8999999999999995,19.0,0,Неопределено
PIE1,IGS,1,0,0,0,0,4.3,-2.7,-1.1,5.2,23.0,0,Неопределено
PIMO,IGS,1,0,0,0,0,1.4,-12.1,-18.700000000000003,22.3,22.0,0,Неопределено
POAL,IGS,1,0,0,0,0,-8.0,5.2,-9.5,13.5,23.0,0,Неопределено
POHN,IGS,1,0,0,0,0,12.6,-0.8,-30.599999999999998,33.099999999999994,24.0,0,Неопределено
POL2,IGS,1,0,0,0,0,0.7,-1.5,-17.5,17.6,23.0,0,Неопределено
POTS,IGS,1,0,0,0,0,-1.8,5.8,-9.299999999999999,11.1,26.0,0,Неопределено
POVE,IGS,1,0,0,0,0,0.8,2.9,13.6,14.0,25.0,0,Неопределено
PTBB,IGS,1,0,0,0,0,2.2,1.4,-0.1,2.6,21.0,0,Неопределено
PRDS,IGS,1,0,0,0,0,75.5,44.3,-157.20000000000002,179.9,27.0,0,Неопределено
