station,n_meas,r3d_mean,r3d_std,r3d_min,r3d_max,r3d_sem,dN_mean,dN_std,dE_mean,dE_std,dU_mean,dU_std,nsat_mean,nsat_std,nsat_min,nsat_max,duration_mean,duration_std,q_mean,skp_N,skp_E,skp_U,skp_3D,category
REYK,26,0.013858,0.00634,0.0065,0.0267,0.001243,0.003877,0.003362,-0.004912,0.004687,-0.003508,0.01237,25.384615,2.06062,21,29,190.034615,52.422155,1.0,0.003362,0.004687,0.01237,0.00634,Высокоточные (5-8 мм)
RGDG,23,0.012335,0.004079,0.0034,0.0194,0.000851,-0.005078,0.004121,0.003713,0.002865,-0.008861,0.005203,25.086957,1.951993,20,27,176.573913,38.105633,1.0,0.004121,0.002865,0.005203,0.004079,Прецизионные (3-5 мм)
RIGA,25,0.013444,0.006038,0.0037,0.0238,0.001208,0.005988,0.003251,0.000208,0.00225,0.010532,0.007488,17.88,2.833137,13,23,123.088,35.456949,1.0,0.003251,0.00225,0.007488,0.006038,Высокоточные (5-8 мм)
RIO2,21,0.0139,0.003581,0.0071,0.0202,0.000781,-0.004919,0.004003,0.002252,0.003688,-0.011324,0.004642,25.952381,2.479439,20,30,189.814286,33.481432,1.0,0.004003,0.003688,0.004642,0.003581,Прецизионные (3-5 мм)
ROAG,21,0.011986,0.006368,0.0039,0.0295,0.00139,0.000814,0.003438,-0.000467,0.004386,-0.0065,0.010739,22.428571,2.063284,19,26,129.761905,40.274017,1.238095,0.003438,0.004386,0.010739,0.006368,Высокоточные (5-8 мм)
SALU,26,0.02445,0.009026,0.0094,0.0376,0.00177,0.00115,0.006139,0.007215,0.007366,0.017465,0.015405,19.230769,2.470752,13,23,169.146154,49.669518,1.0,0.006139,0.007366,0.015405,0.009026,Средней точности (8-12 мм)
SASK,26,0.0137,0.005849,0.0023,0.027,0.001147,0.001942,0.003032,0.004712,0.003793,0.009415,0.009294,22.769231,2.178214,18,27,174.426923,48.24066,1.0,0.003032,0.003793,0.009294,0.005849,Высокоточные (5-8 мм)
SAVO,20,0.01418,0.009159,0.0018,0.0375,0.002048,0.000485,0.007849,0.00146,0.007887,-0.000535,0.012978,18.55,3.268268,13,25,178.665,22.719578,1.0,0.007849,0.007887,0.012978,0.009159,Средней точности (8-12 мм)
SCH2,25,0.00786,0.004905,0.0016,0.0194,0.000981,-0.001532,0.004816,0.001188,0.00386,0.000112,0.006819,24.04,3.034249,16,29,193.344,40.008833,1.0,0.004816,0.00386,0.006819,0.004905,Прецизионные (3-5 мм)
SCOR,24,0.008696,0.004359,0.0023,0.0186,0.00089,0.002404,0.003521,0.003538,0.003743,0.001225,0.007127,25.916667,2.320357,21,31,213.7375,21.591218,1.0,0.003521,0.003743,0.007127,0.004359,Прецизионные (3-5 мм)
SCRZ,21,0.010767,0.004564,0.0033,0.0197,0.000996,0.005876,0.003171,-0.002629,0.005271,0.003205,0.007104,19.714286,2.052873,15,24,139.728571,37.563215,1.0,0.003171,0.005271,0.007104,0.004564,Прецизионные (3-5 мм)
SCUB,24,0.011954,0.007581,0.003,0.0303,0.001548,0.000479,0.005177,0.004442,0.004929,0.001771,0.011472,21.458333,2.321528,17,26,148.720833,41.925576,1.0,0.005177,0.004929,0.011472,0.007581,Высокоточные (5-8 мм)
SEY2,23,0.012474,0.006239,0.0031,0.0288,0.001301,0.002117,0.00416,0.00177,0.006807,-0.003643,0.010783,21.478261,2.626258,13,25,164.082609,48.788734,1.0,0.00416,0.006807,0.010783,0.006239,Высокоточные (5-8 мм)
