station,n_meas,bias_N,skp_N,bias_E,skp_E,bias_U,skp_U,rms_3d,std_3d,mean_3d,nsat_mean,duration_mean,q_fix_ratio,skp_3D,category
REYK,37,0.004508,0.003111,-0.0043,0.004848,-0.004051,0.011468,0.014683,0.006036,0.013422,25.297297,195.1,1.0,0.006036,Пониженной точности (12-20 мм)
RGDG,33,-0.005015,0.004112,0.00347,0.002642,-0.009033,0.004962,0.012892,0.004076,0.012252,25.121212,175.775758,1.0,0.004076,Пониженной точности (12-20 мм)
RIGA,36,0.005781,0.003535,0.000139,0.0023,0.009803,0.007984,0.014455,0.006363,0.013022,17.138889,115.844444,1.0,0.006363,Пониженной точности (12-20 мм)
RIO2,29,-0.005038,0.003953,0.002148,0.003388,-0.011966,0.004195,0.014678,0.003384,0.014297,25.896552,187.855172,1.0,0.003384,Пониженной точности (12-20 мм)
ROAG,30,0.000777,0.003286,3e-06,0.004205,-0.006793,0.00907,0.012396,0.00574,0.011037,22.533333,130.813333,0.966667,0.00574,Пониженной точности (12-20 мм)
SALU,37,0.002105,0.005897,0.007492,0.007656,0.018259,0.013881,0.025952,0.009074,0.024359,19.243243,168.918919,1.0,0.009074,Низкой точности (20-50 мм)
SASK,35,0.001546,0.002634,0.00506,0.003847,0.009083,0.007682,0.013751,0.004558,0.012997,22.771429,179.725714,1.0,0.004558,Пониженной точности (12-20 мм)
SAVO,29,0.002266,0.005378,0.000441,0.006407,0.002845,0.011618,0.014554,0.00691,0.012872,19.37931,176.486207,1.0,0.00691,Пониженной точности (12-20 мм)
SCH2,35,-0.002334,0.005171,0.001237,0.003803,0.000649,0.006117,0.009151,0.004898,0.007774,23.971429,195.354286,1.0,0.004898,Средней точности (8-12 мм)
SCOR,35,0.003026,0.003423,0.004157,0.003663,0.0018,0.006623,0.009833,0.003877,0.00906,25.457143,214.108571,1.0,0.003877,Средней точности (8-12 мм)
SCRZ,31,0.005735,0.002934,-0.002784,0.005582,0.003671,0.006641,0.011628,0.004674,0.010681,19.516129,138.812903,1.0,0.004674,Средней точности (8-12 мм)
SCUB,35,0.001066,0.004732,0.004354,0.004756,0.001129,0.010384,0.013026,0.007192,0.010929,21.285714,153.525714,1.0,0.007192,Пониженной точности (12-20 мм)
SEY2,33,0.001585,0.004446,0.000642,0.007166,-0.004794,0.012029,0.015334,0.007425,0.013479,21.424242,169.878788,1.0,0.007425,Пониженной точности (12-20 мм)
SEYG,37,-0.003773,0.0067,-0.000541,0.004951,0.009108,0.009062,0.015641,0.004839,0.014895,24.810811,214.648649,1.0,0.004839,Пониженной точности (12-20 мм)
SFER,31,-0.004071,0.003021,0.0004,0.004033,-0.008726,0.007015,0.012879,0.004909,0.011939,22.354839,154.551613,1.0,0.004909,Пониженной точности (12-20 мм)
SGOC,12,0.002933,0.004177,-0.001658,0.003659,-0.005358,0.00557,0.009853,0.003987,0.009083,26.416667,206.091667,1.0,0.003987,Средней точности (8-12 мм)
SOD3,33,0.001188,0.002716,0.002876,0.00312,-0.004406,0.005035,0.00839,0.002902,0.007888,28.121212,220.245455,1.0,0.002902,Средней точности (8-12 мм)
SOFI,34,-0.001215,0.004083,-0.004718,0.006371,-0.011318,0.014974,0.020624,0.01169,0.017109,21.852941,160.988235,1.0,0.01169,Низкой точности (20-50 мм)
SOLO,32,0.015425,0.004021,-0.002738,0.005537,0.007553,0.008908,0.020603,0.005105,0.019981,24.03125,191.0,1.0,0.005105,Низкой точности (20-50 мм)
SPT0,36,0.002306,0.002788,0.00215,0.003381,-0.006903,0.007147,0.011213,0.005215,0.009964,24.222222,184.102778,1.0,0.005215,Средней точности (8-12 мм)
STHL,32,0.002037,0.002212,-0.001466,0.003124,0.001209,0.004887,0.006714,0.002677,0.006175,25.71875,192.95,1.0,0.002677,Высокоточные (5-8 мм)
